digimon_id,hplvl99,splvl99,atklvl99,deflvl99,intlvl99,spdlvl99
1,1030,131,128,118,117,159
2,1590,106,130,130,118,112
3,1460,89,161,146,89,124
4,1180,117,131,159,130,100
5,930,162,93,103,159,145
6,1110,149,125,103,145,152
7,1530,91,173,152,91,125
8,1670,108,139,136,122,113
9,1520,93,171,151,93,125
10,1520,108,172,108,93,152
11,1080,140,125,123,123,167
12,930,171,93,108,167,153
13,940,167,99,107,166,152
14,1680,108,136,136,124,113
15,1370,152,93,123,167,113
16,1670,107,136,135,127,113
17,1370,136,128,124,124,136
18,1620,98,195,162,93,135
19,1610,95,188,167,95,134
20,1490,140,154,128,134,140
21,1800,139,111,175,109,111
22,920,178,122,109,178,161
23,1470,147,131,128,128,144
24,1470,164,91,124,177,122
25,1620,113,182,118,105,160
26,1560,115,187,108,98,161
27,1520,142,143,130,128,145
28,1490,137,148,138,123,145
29,1640,113,197,118,93,160
30,980,192,92,118,181,164
31,1620,118,187,113,100,160
32,1280,128,147,182,144,111
33,1640,90,179,169,90,133
34,1800,113,147,147,130,123
35,1410,159,92,135,176,122
36,1600,96,190,170,93,136
37,1670,142,113,172,115,116
38,1140,145,136,122,134,175
39,1130,147,133,124,133,176
40,1240,128,140,174,147,112
41,1750,141,116,176,107,110
42,1360,130,162,152,137,123
43,1570,108,196,148,88,148
44,1610,109,192,123,95,160
45,1730,145,110,174,113,110
46,1420,147,128,123,141,144
47,1620,98,182,167,102,134
48,1780,109,157,144,129,123
49,1090,141,138,125,138,175
50,1370,147,134,128,134,145
51,1180,147,143,128,128,177
52,1450,108,168,145,112,147
53,1630,118,194,118,92,160
54,930,182,98,113,183,156
55,1410,160,100,125,177,122
56,1130,142,148,128,132,178
57,1750,108,150,142,128,122
58,1630,93,192,159,90,128
59,1740,118,141,141,128,123
60,1770,207,98,153,272,163
61,1530,138,143,130,150,126
62,1470,147,138,123,138,147
63,1280,128,162,112,162,134
64,1250,125,146,175,144,110
65,1480,143,199,133,177,141
66,1430,136,162,196,160,123
67,1280,162,158,138,138,207
68,1670,142,183,142,133,173
69,1670,152,188,133,138,162
70,1970,152,133,197,123,118
71,1970,128,172,156,143,134
72,1080,202,113,123,207,177
73,1770,118,207,154,108,166
74,2120,118,163,157,138,132
75,1630,116,190,159,125,167
76,1570,172,153,143,143,172
77,1430,143,187,133,187,148
78,1820,103,219,177,103,146
79,1480,133,162,202,157,118
80,1770,137,143,232,140,101
81,1180,162,158,143,148,202
82,1380,138,162,192,170,120
83,1920,157,123,212,118,118
84,1570,157,158,148,138,162
85,1330,162,148,143,143,202
86,1330,162,158,153,128,197
87,1130,202,98,128,202,187
88,1770,118,207,172,108,158
89,1870,128,217,123,103,172
90,1820,113,212,177,103,153
91,1870,113,217,177,98,148
92,1570,177,103,150,197,136
93,1770,108,217,172,98,148
94,1670,182,107,138,192,134
95,2020,153,148,192,108,117
96,1820,115,215,162,108,158
97,1820,118,215,143,100,182
98,1670,183,98,133,207,132
99,2020,118,185,191,101,123
100,1430,133,185,192,147,120
101,1820,129,177,145,139,148
102,1720,172,103,138,205,130
103,1620,177,103,148,198,132
104,1780,128,172,149,149,145
105,1920,133,207,128,103,177
106,2070,152,133,197,113,118
