digimon_id,hplvl1,splvl1,atklvl1,deflvl1,intlvl1,spdlvl1
1,150,24,30,20,19,32
2,320,18,23,23,20,24
3,290,11,34,29,11,26
4,200,19,24,32,23,22
5,150,35,15,15,32,28
6,330,22,47,15,18,35
7,360,13,46,35,13,27
8,400,20,32,29,24,25
9,350,15,44,34,15,27
10,350,20,45,20,15,35
11,200,33,27,25,25,40
12,150,44,15,20,40,36
13,160,40,21,19,39,35
14,410,20,29,29,26,25
15,300,35,15,25,40,25
16,400,19,29,28,29,25
17,300,29,30,26,26,29
18,450,20,68,45,15,37
19,440,17,61,50,17,36
20,420,33,56,30,36,33
21,530,32,23,48,21,33
22,140,51,44,21,51,44
23,400,40,33,30,30,37
24,400,47,13,26,50,34
25,450,25,55,30,27,43
26,390,27,60,20,20,44
27,450,35,45,32,30,38
28,420,30,50,40,25,38
29,470,25,70,30,15,43
30,200,65,14,30,54,47
31,450,30,60,25,22,43
32,300,30,40,55,37,33
33,470,12,52,52,12,35
34,530,25,40,40,32,35
35,340,42,14,37,49,34
36,430,18,63,53,15,38
37,400,35,25,45,27,38
38,260,38,38,24,36,48
39,250,40,35,26,35,49
40,260,30,33,47,40,34
41,480,34,28,49,19,32
42,380,32,55,25,30,45
43,400,30,69,31,10,50
44,440,21,65,35,17,43
45,460,38,22,47,25,32
46,350,40,30,25,43,37
47,450,20,55,50,24,36
48,510,21,50,37,31,35
49,210,34,40,27,40,48
50,300,40,36,30,36,38
51,300,40,45,30,30,50
52,280,30,41,28,34,49
53,460,30,67,30,14,43
54,150,55,20,25,56,39
55,340,43,22,27,50,34
56,250,35,50,30,34,51
57,480,20,43,35,30,34
58,460,15,65,42,12,30
59,470,30,34,34,30,35
60,700,90,20,55,145,75
61,260,50,36,23,52,38
62,400,40,40,25,40,40
63,300,30,45,24,45,36
64,270,27,39,48,37,32
65,500,45,82,45,60,43
66,450,38,55,69,53,45
67,400,55,60,40,40,80
68,600,35,85,44,35,66
69,600,45,90,35,40,55
70,700,45,45,70,35,40
71,700,40,65,49,45,46
72,300,75,35,35,80,60
73,600,40,80,37,30,68
74,850,30,56,50,40,44
75,460,38,63,42,47,69
76,500,65,55,45,45,65
77,450,45,70,45,70,50
78,650,25,92,60,25,48
79,500,35,55,75,50,40
80,500,30,55,105,52,23
81,300,55,60,45,50,75
82,400,40,55,65,63,42
83,650,50,35,85,30,40
84,500,50,60,50,40,55
85,450,55,50,45,45,75
86,450,55,60,55,30,70
87,350,75,20,40,75,70
88,600,40,80,55,30,60
89,700,40,90,35,25,55
90,650,35,85,60,25,55
91,700,35,90,60,20,50
92,500,60,25,52,70,48
93,600,30,90,55,20,50
94,600,65,29,40,65,46
95,750,46,60,65,20,39
96,650,37,88,45,30,60
97,650,30,88,55,22,65
98,600,66,20,35,80,44
99,850,40,58,74,23,25
100,450,35,78,65,40,42
101,550,41,70,38,41,60
102,650,55,25,40,78,42
103,550,60,25,50,71,44
104,800,30,55,61,32,47
105,750,45,80,40,25,60
106,800,45,45,70,25,40
107,550,45,55,60,42,48
108,550,40,80,30,35,75
109,570,28,88,43,29,60
110,580,28,85,68,24,62
111,500,65,25,44,85,46
112,450,35,60,78,45,42
113,660,43,52,50,48,46
114,650,20,85,67,20,48
115,250,80,30,35,80,65
116,500,45,75,40,67,48
117,560,34,67,47,39,62
118,700,40,55,60,44,46
119,600,40,75,45,30,65
120,580,35,55,70,45,42
121,750,46,40,75,25,44
122,500,60,45,35,60,65
123,600,33,77,73,27,55
124,200,85,25,30,75,70
125,600,45,75,55,25,65
126,450,58,60,36,64,62
127,10,45,35,999,1,40
128,300,70,45,40,70,60
129,750,35,60,53,38,44
130,350,60,55,35,45,85
131,550,30,75,55,40,50
132,450,37,72,70,38,43
133,750,39,50,45,50,46
134,400,60,45,35,65,60
135,600,25,92,52,20,56
136,890,30,56,51,39,40
137,600,30,80,65,32,48
138,350,60,45,35,50,80
139,350,65,45,50,50,80
140,600,30,70,55,35,55
141,800,62,50,100,65,53
142,600,67,108,50,70,85
143,500,70,75,60,65,105
144,550,45,80,94,80,56
145,600,55,70,100,75,50
146,750,55,135,45,35,95
147,800,64,90,55,90,61
148,800,45,100,65,50,100
149,820,45,120,82,46,65
